check,name,address,region,tags,price,category,notes,link
√,138 Kway Chap & Porridge,"16 Upper Bukit Timah Rd, Singapore 588172",Central,"cheap, hawker",<$15,cheap and good,only morning can go. mon tue closed,
√,Top 1 Home Made Noodle,"144 Upper Bukit Timah Rd, #04-44, Singapore 588177",Central,"cheap, hawker",<$15,cheap and good,black black noodle ze best,
√,Whisk & Paddle,"10 Tebing Ln, Singapore 828836",North-East,cafe,$15 - $25,cafe because hipster,,
√,Cake Spade,"83 Tg Pagar Rd, Singapore 088504",Central,dessert,<$15,cafe because hipster,tofu cheesecake,
√,Seorae Singapore - Korean Charcoal BBQ,Plaza Singapura and Jem,,"korean, bbq",$35 - $50,nice food must go,string cheese BBQ,https://www.seorae.com.sg/
√,Gyu Nami by Gomalicious,"Orchard Gateway, 277 Orchard Rd, B2 06, 238858",Central,"japanese, beef",<$15,cheap and good,cheap beef bowl,
√,Tendon Ginza Itsuki,"101 Tg Pagar Rd, Singapore 088522",Central,"japanese, tempura",$15 - $25,nice food must go,,https://www.tendon-itsuki.sg/
√,Lau Wang Claypot Delights,"263 Serangoon Central Dr, #01-43, Singapore 550263",North-East,cheap,<$15,cheap and good,,
√,River South (Hoe Nam) Prawns Noodles,"31 Tai Thong Cres, Singapore 347859",Central,"cheap, must-try",<$15,nice food must go,must go before 2pm. gets crowded during lunch time,
√,My Cosy Corner,"587 Bukit Timah Rd, #02-02 Coronation Plaza, 269707",Central,"cheap, must-try",<$15,cheap and good,best popiah you'll ever have. sells out by 2.30pm,
√,G7 Sinma Claypot,"5 Cheong Chin Nam Rd, Singapore 599730",Central,"porridge, comfort-food",<$15,nice food must go,cos u nv try before frog,
√,Two Chefs Eating Place,"116 Commonwealth Cres, #01-129, Singapore 140116",Central,zi char,$15 - $25,nice food must go,cocaine pork so good,
√,Tolido’s Espresso Nook,"462 Crawford Lane #01-63, Singapore 190462",Central,"cafe, brunch",$15 - $25,cafe because hipster,,https://www.facebook.com/tolidosnook/
√,iO Italian Osteria Singapore,"4 Hillview Rise, #02-01, Singapore 667979",West,"italian, recommended",$25 - $35,recommendation,,
√,Cheng Mun Chee Kee Pig Organ Soup,"24 Foch Rd, Singapore 209263",Central,"cheap, hawker",<$15,cheap and good,Yummy pork slice soup,
√,Swee Choon Tim Sum Restaurant,"183/185/187/189, Jln Besar, 191/193, 208882",Central,"dimsum, supper",$25 - $35,nice food must go,for supper,
√,Yoogane,"3, #03-08 Gateway Dr, Westgate, 608532",West,korean,$35 - $50,pretty meh but wanna go,better go if not last outlet also close down,
√,Tempura Kohaku,"3 Temasek Blvd, #03-311, Singapore 038983",Central,"japanese, tempura",$15 - $25,nice food must go,tempura udon,
√,Lola's Cafe,"5 Simon Rd, Singapore 545893",North-East,brunch,$15 - $25,cafe because hipster,Awesome wings and brunch,
√,Beach Road Scissors Cut Curry Rice,"229 Jln Besar, Singapore 208905",Central,"cheap, hawker",<$15,cheap and good,"Chicken cutlet, curry, gravy and vegggggg",
√,Two Men Bagel House,"17D Lor Liput, Singapore 277731",Central,"cafe, must-try",$15 - $25,cafe because hipster,because bagels,
√,Blanco Court Prawn Mee,"243 Beach Rd, #01-01, Singapore 189754",Central,"cheap, hawker, must-try",<$15,nice food must go,Closes at 4pm,
√,Taan,"30 Liang Seah St, Singapore 189051",Central,"Skewers, BBQ, Grill",$35 - $50,nice food must go,,
√,Hokkaido Ramen Santouka,Various locations,,"japanese, ramen",$15 - $25,nice food must go,just for pork cheeks,
